판매처코드,판매처명
1300001,ユアサ・フナショク株式会社東京支店
1300002,株式会社日本アクセス北関東支店
1300003,加藤産業株式会社南関東支社南東京支店
1300004,加藤産業株式会社南関東支社湘南支店
1300006,加藤産業株式会社九州支社福岡支店
1300007,加藤産業株式会社東北支社仙台支店
1300008,加藤産業株式会社東関東支社千葉支店
1300009,加藤産業株式会社東関東支社足立支店
1300010,加藤産業株式会社北近畿支社京都支店
1300011,加藤産業株式会社北近畿支社北大阪支店
1300014,加藤産業株式会社北関東支社多摩支店
1300015,加藤産業株式会社北関東支社埼玉支店
1300019,加藤産業株式会社西近畿支社神姫支店
1300020,加藤産業株式会社西近畿支社阪神支店
1300022,加藤産業株式会社中部支社名古屋支店
1300025,加藤産業株式会社中四国支社岡山支店
1300026,加藤産業株式会社中四国支社高松支店
1300027,加藤産業株式会社中四国支社四国支店
1300028,加藤産業株式会社中四国支社広島支店
1300029,今津株式会社
1300030,国分東北株式会社仙台支店
1300031,国分西日本株式会社岡山支店
1300032,藤徳物産株式会社岡山支店
1300033,藤徳物産株式会社福山支店
1300034,藤徳物産株式会社香川支店
1300044,三井物産流通G（株）首都圏支社東京営業部営業第一室
1300049,国分西日本株式会社山口支店
1300050,旭食品株式会社中四国支社高知支店
1300052,旭食品株式会社大阪南支店
1300053,旭食品株式会社大阪北支店
1300055,旭食品株式会社松山支店
1300056,旭食品株式会社首都圏支店
1300057,旭食品株式会社関東支店北関東営業所
1300058,旭食品株式会社関東支店
1300059,旭食品株式会社四国支店
1300061,伊藤忠食品株式会社東日本営業部
1300062,伊藤忠食品株式会社東海営業本部
1300063,伊藤忠食品株式会社西日本営業部
1300064,伊藤忠食品株式会社中四国支店
1300068,ボーキ佐藤株式会社福島営業所
1300069,ボーキ佐藤株式会社山形支店
1300071,ボーキ佐藤株式会社新潟支店
1300072,ボーキ佐藤株式会社北関東支店
1300073,ボーキ佐藤株式会社群馬営業所
1300074,株式会社榎本武平商店
1300076,奈和食品株式会社
1300077,株式会社大物
1300080,三菱食品株式会社九州支社営業D
1300081,三菱食品株式会社九州支社営業ABC
1300088,三菱食品株式会社営業第二本部神奈川エリアオフィス
1300089,三菱食品（株）営業第二本部新潟支店
1300095,三菱食品株式会社中部支社営業部
1300099,三菱食品株式会社営業第一本部第一グループ
1300101,三菱食品株式会社営業第二本部北関東支店
1300114,株式会社昭和加工食品部
1300117,株式会社日本アクセス岡山支店
1300118,株式会社日本アクセス大阪支店
1300119,株式会社日本アクセス東京西支店
1300120,株式会社日本アクセス福山支店
1300122,日本アクセス北海道株式会社加工食品部
1300123,株式会社日本アクセス神奈川支店
1300124,株式会社日本アクセス新潟支店
1300125,株式会社日本アクセス名古屋支店
1300126,株式会社日本アクセス長崎支店
1300127,株式会社日本アクセス八戸支店
1300128,株式会社日本アクセス和歌山支店
1300136,株式会社サンヨー堂大阪支店
1300137,株式会社サンヨー堂福岡支店
1300142,株式会社トーカン
1300148,国分首都圏株式会社GMS営業部
1300149,国分首都圏株式会社山梨支社
1300150,株式会社サンヨー堂東京第一支店
1300152,国分九州株式会社
1300153,国分西日本株式会社近畿支社
1300154,国分首都圏株式会社
1300157,国分首都圏株式会社卸事業部営業課
1300160,全日本食品株式会社東北支社
1300161,国分関信越株式会社信越支社新潟支店
1300163,国分中部株式会社
1300164,国分中部株式会社北陸支社
1300167,国分関信越株式会社埼玉支店
1300168,国分関信越株式会社茨城支社
1300170,国分中部株式会社伊勢支店
1300171,全日本食品株式会社関東支社
1300172,国分東北株式会社山形支店
1300174,丸大堀内株式会社一関支店
1300175,丸大堀内株式会社盛岡支店
1300176,丸大堀内株式会社秋田支店
1300177,丸大堀内株式会社八戸支店
1300178,丸大堀内株式会社弘前支店
1300179,丸大堀内株式会社横手支店
1300182,広川株式会社営業本部
1300183,カナカン株式会社食品七尾営業所
1300184,カナカン株式会社食品富山営業所
1300189,コゲツ産業（株）福岡支店
1300190,コゲツ産業（株）北九州支店
1300191,コゲツ産業（株）熊本支店
1300192,国分西日本株式会社広島支店
1300193,株式会社花正
1300195,ボーキ佐藤株式会社仙台支店
1300196,ボーキ佐藤株式会社会津若松支店
1300198,ボーキ佐藤株式会社青森支店
1300199,ボーキ佐藤株式会社郡山支店
1300202,ボーキ佐藤株式会社一関営業所
1300204,株式会社マルイチ産商食品事業部飯田支店
1300205,株式会社マルイチ産商商品事業部松本支店
1300206,株式会社マルイチ産商食品事業部長野支店
1300363,国分首都圏株式会社第二支社西東京支店
1300383,国分東北株式会社郡山支店
1300385,日清商事株式会社
1300405,全日本食品株式会社北海道支社
1300543,株式会社日本アクセス福山支店物流センタｰ
1300578,国分首都圏株式会社神奈川支社横浜支店
1300595,広川株式会社岡山支店
1300633,カナカン株式会社金沢支店食品金沢営業所
1300679,ボーキ佐藤株式会社盛岡支店
1300727,三井物産流通グループ株式会社中部支社量販営業部
1300773,ヤマエ久野株式会社食品福岡支店
1300794,株式会社久吾商店
1300806,加藤産業株式会社北関東支社新潟支店
1300820,国分関信越株式会社栃木支社
1300822,国分東北株式会社盛岡支店
1300823,国分東北株式会社青森支店
1300824,国分関信越株式会社群馬支社
1300973,三菱食品（株）東北支社南東北支店いわきユニット
1300995,カナカン株式会社食品福井営業所
1301235,国分九州株式会社大分支店
1301239,国分九州株式会社長崎支店
1301253,国分九州株式会社鹿児島支店
1301254,国分九州株式会社北薩営業所
1301279,丸大堀内(株）みやぎ支店
1301282,ボーキ佐藤株式会社秋田支店
1301283,ボーキ佐藤株式会社八戸営業所
1301336,ユアサ・フナショク株式会社松戸支店
1301355,株式会社山星屋
1301359,三菱食品株式会社関西支社営業第二部
1301360,三菱食品株式会社関西支社営業第三部
1301365,三菱食品（株）営業第二本部長岡支店
1301367,株式会社日本アクセス宇都宮支店
1301368,株式会社日本アクセス茨城支店
1301369,株式会社日本アクセス姫路支店
1301370,株式会社日本アクセス東京中央支店
1301371,株式会社日本アクセス埼玉支店
1301372,株式会社日本アクセス仙台支店
1301373,株式会社日本アクセス千葉支店
1301374,株式会社日本アクセス東京中央支店(1)
1301375,三菱食品株式会社営業第一本部第三グループ
1301380,国分首都圏株式会社SM・生協営業部
1301389,国分東北株式会社秋田支店
1301390,株式会社日本アクセス青森支店
1301395,ユアサ・フナショク株式会社旭支店
1301396,ユアサ・フナショク株式会社埼玉支店
1301397,ユアサ・フナショク株式会社千葉支店
1301399,ユアサ・フナショク株式会社横浜支店
1301402,三菱食品株式会社広域流通本部広域営業グループ
1301403,三菱食品株式会社営業第二本部東関東支店
1301405,三菱食品株式会社営業第二本部山梨エリアオフィス
1301408,三菱食品（株）東北支社南東北支店福島ユニット
1301412,三菱食品株式会社東北支社加食営業第二部
1301421,国分北海道株式会社
1301502,株式会社日本アクセス京都支店物流センター
1301506,株式会社日本アクセス姫路支店物流センター
1301508,株式会社日本アクセス静岡支店
1301516,株式会社日本アクセス神戸支店
1301517,株式会社日本アクセス京都支店
1301519,株式会社日本アクセス鹿児島支店
1301572,株式会社日本アクセス福岡支店
1301581,ユアサ・フナショク株式会社旭支店倉庫
1301607,加藤産業株式会社東北支社山形営業所
1301608,加藤産業株式会社東北支社秋田支店
1301609,旭食品株式会社松山支店新居浜営業所
1301610,旭食品株式会社徳島支店
1301612,旭食品株式会社宿毛支店
1301614,旭食品株式会社広島支店
1301615,旭食品株式会社中国支店
1301616,*旭食品株式会社境港支店
1301619,旭食品株式会社宮崎営業所
1301622,ヤマキ株式会社静岡倉庫
1301624,旭食品株式会社和歌山支店
1301625,旭食品株式会社京都支店
1301627,旭食品株式会社神戸支店
1301629,旭食品株式会社名古屋支店
1301654,三井物産流通G（株）首都圏支社中央営業部営業第二室
1301655,三井食品株式会社首都圏支社広域営業部
1301656,三井物産流通グループ株式会社業務用食材本部卸営業部
1301657,三井物産流通Ｇ（株）三井食品ユニット首都圏中央営業4室関信越
