소매처코드,판매처코드,판매처명
6035526,1303017,株式会社日本アクセス広域リテール営業本部九州支店鹿児島営業所
6003788,1302976,株式会社トーカン商品統括部（CVS)
6003788,1303568,株式会社日本アクセス広域リテール営業本部加工食品飲料部
6003788,1303567,株式会社日本アクセス広域リテール営業本部東北営業課
6003788,1303569,株式会社日本アクセス広域リテール営業本部中部・北陸営業課
6003788,1303571,株式会社日本アクセス広域リテール営業本部中四国営業課
6003788,1303572,株式会社日本アクセス広域リテール営業本部九州営業課
6003788,1303570,株式会社日本アクセス広域リテール営業本部関西営業課
6003788,1302971,株式会社日本アクセス北海道（CVS）
6164487,1300114,株式会社昭和加工食品部
6033130,1300206,株式会社マルイチ産商食品事業部長野支店
6022431,1300062,伊藤忠食品株式会社東海営業本部
6152491,1300142,株式会社トーカン
6003672,1300205,株式会社マルイチ産商商品事業部松本支店
6152504,1300206,株式会社マルイチ産商食品事業部長野支店
6035549,1300062,伊藤忠食品株式会社東海営業本部
6152516,1300062,伊藤忠食品株式会社東海営業本部
6152499,1300114,株式会社昭和加工食品部
6051375,1303013,三井食品株式会社中部支社中部営業部
6152533,1300062,伊藤忠食品株式会社東海営業本部
6033130,1300206,株式会社マルイチ産商食品事業部長野支店
6022403,1301870,株式会社日本アクセス長野支店
6152547,1300205,株式会社マルイチ産商商品事業部松本支店
6152385,1303013,三井食品株式会社中部支社中部営業部
6047928,1300205,株式会社マルイチ産商商品事業部松本支店
6047928,1300206,株式会社マルイチ産商食品事業部長野支店
6152422,1300205,株式会社マルイチ産商商品事業部松本支店
6153973,1300114,株式会社昭和加工食品部
6035516,1300125,株式会社日本アクセス名古屋支店
6153993,1300205,株式会社マルイチ産商商品事業部松本支店
6033130,1300142,株式会社トーカン
6154401,1300142,株式会社トーカン
6055637,1300205,株式会社マルイチ産商商品事業部松本支店
6003851,1300205,株式会社マルイチ産商商品事業部松本支店
6154028,1300206,株式会社マルイチ産商食品事業部長野支店
6163098,1300206,株式会社マルイチ産商食品事業部長野支店
6152542,1300206,株式会社マルイチ産商食品事業部長野支店
6000892,1300125,株式会社日本アクセス名古屋支店
6052879,1300142,株式会社トーカン
6000896,1300125,株式会社日本アクセス名古屋支店
6154845,1300205,株式会社マルイチ産商商品事業部松本支店
6035547,1300205,株式会社マルイチ産商商品事業部松本支店
6035547,1300206,株式会社マルイチ産商食品事業部長野支店
6152553,1300062,伊藤忠食品株式会社東海営業本部
6152461,1303013,三井食品株式会社中部支社中部営業部
6084157,1305984,株式会社日本アクセス浜松支店
6035501,1301367,株式会社日本アクセス宇都宮支店
6033130,1300002,株式会社日本アクセス北関東支店
6084157,1300125,株式会社日本アクセス名古屋支店
6084157,1300002,株式会社日本アクセス北関東支店
6035530,1301508,株式会社日本アクセス静岡支店
6163099,1300205,株式会社マルイチ産商商品事業部松本支店
6152478,1300114,株式会社昭和加工食品部
6153997,1300062,伊藤忠食品株式会社東海営業本部
6152669,1300205,株式会社マルイチ産商商品事業部松本支店
6152577,1300206,株式会社マルイチ産商食品事業部長野支店
6152671,1303013,三井食品株式会社中部支社中部営業部
6154076,1300062,伊藤忠食品株式会社東海営業本部
6047989,1300114,株式会社昭和加工食品部
6047989,1300114,株式会社昭和加工食品部
6154845,1300206,株式会社マルイチ産商食品事業部長野支店
6152657,1306919,全日本食品株式会社中国支社
6152513,1300072,ボーキ佐藤株式会社北関東支店
6152423,1300072,ボーキ佐藤株式会社北関東支店
6000492,1300072,ボーキ佐藤株式会社北関東支店
6152526,1304968,ヤマエ久野株式会社東京支店食品課
6033130,1304968,ヤマエ久野株式会社東京支店食品課
6022457,1304968,ヤマエ久野株式会社東京支店食品課
6000958,1304968,ヤマエ久野株式会社東京支店食品課
6154105,1304968,ヤマエ久野株式会社東京支店食品課
6034926,1301355,株式会社山星屋
6047970,1301355,株式会社山星屋
6022397,1301355,株式会社山星屋
6035534,1300119,株式会社日本アクセス東京西支店
6160901,1305584,丸大堀内株式会社青森支店
6051361,1301399,ユアサ・フナショク株式会社横浜支店
6152650,1300176,丸大堀内株式会社秋田支店
6148219,1301916,君沢サンヨー株式会社
6152503,1300068,ボーキ佐藤株式会社福島営業所
6033130,1301657,三井食品株式会社業務用食材本部卸営業部関信越営業所
6033130,1301282,ボーキ佐藤株式会社秋田支店
6152518,1300679,ボーキ佐藤株式会社盛岡支店
6049273,1300124,株式会社日本アクセス新潟支店
6000329,1301396,ユアサ・フナショク株式会社埼玉支店
6003770,1300679,ボーキ佐藤株式会社盛岡支店
6152543,1301282,ボーキ佐藤株式会社秋田支店
6018478,1300001,ユアサ・フナショク株式会社東京支店
6016325,1301282,ボーキ佐藤株式会社秋田支店
6000525,1301908,株式会社サンヨー堂東京東支店
6000323,1300073,ボーキ佐藤株式会社群馬営業所
6152581,1300196,ボーキ佐藤株式会社会津若松支店
6035521,1300119,株式会社日本アクセス東京西支店
6056005,1306129,丸大堀内株式会社郡山支店
6056005,1300174,丸大堀内株式会社一関支店
6152423,1300199,ボーキ佐藤株式会社郡山支店
6000495,1300119,株式会社日本アクセス東京西支店
6152690,1300202,ボーキ佐藤株式会社一関営業所
6000495,1300119,株式会社日本アクセス東京西支店
6154337,1300071,ボーキ佐藤株式会社新潟支店
6154356,1300071,ボーキ佐藤株式会社新潟支店
6152645,1301282,ボーキ佐藤株式会社秋田支店
6164678,1300068,ボーキ佐藤株式会社福島営業所
6035502,1300123,株式会社日本アクセス神奈川支店
6022470,1301283,ボーキ佐藤株式会社八戸営業所
6154055,1301283,ボーキ佐藤株式会社八戸営業所
6033130,1300071,ボーキ佐藤株式会社新潟支店
6033130,1300176,丸大堀内株式会社秋田支店
6022485,1300068,ボーキ佐藤株式会社福島営業所
6070893,1301399,ユアサ・フナショク株式会社横浜支店
6017834,1305584,丸大堀内株式会社青森支店
6017834,1300175,丸大堀内株式会社盛岡支店
6017834,1300176,丸大堀内株式会社秋田支店
6017834,1306129,丸大堀内株式会社郡山支店
6000892,1305584,丸大堀内株式会社青森支店
6000892,1300175,丸大堀内株式会社盛岡支店
6000892,1300176,丸大堀内株式会社秋田支店
6000892,1300174,丸大堀内株式会社一関支店
6000608,1300177,丸大堀内株式会社八戸支店
6000608,1300175,丸大堀内株式会社盛岡支店
6000608,1300178,丸大堀内株式会社弘前支店
6003780,1301282,ボーキ佐藤株式会社秋田支店
6152456,1301282,ボーキ佐藤株式会社秋田支店
6147729,1300068,ボーキ佐藤株式会社福島営業所
6154356,1300071,ボーキ佐藤株式会社新潟支店
6152554,1301657,三井食品株式会社業務用食材本部卸営業部関信越営業所
6033130,1300068,ボーキ佐藤株式会社福島営業所
6003793,1301908,株式会社サンヨー堂東京東支店
6054926,1301399,ユアサ・フナショク株式会社横浜支店
6033129,1300175,丸大堀内株式会社盛岡支店
6144991,1303714,株式会社日本アクセス郡山支店
6035545,1303714,株式会社日本アクセス郡山支店
6003868,1303714,株式会社日本アクセス郡山支店
6164500,1301390,株式会社日本アクセス青森支店
6152469,1300679,ボーキ佐藤株式会社盛岡支店
6152631,1300202,ボーキ佐藤株式会社一関営業所
6152469,1300175,丸大堀内株式会社盛岡支店
6022433,1303714,株式会社日本アクセス郡山支店
6152596,1300202,ボーキ佐藤株式会社一関営業所
6003889,1300177,丸大堀内株式会社八戸支店
6049544,1300073,ボーキ佐藤株式会社群馬営業所
6023440,1300679,ボーキ佐藤株式会社盛岡支店
6152581,1300199,ボーキ佐藤株式会社郡山支店
6152582,1301283,ボーキ佐藤株式会社八戸営業所
6035511,1300177,丸大堀内株式会社八戸支店
6152626,1300175,丸大堀内株式会社盛岡支店
6152487,1300175,丸大堀内株式会社盛岡支店
6152488,1300178,丸大堀内株式会社弘前支店
6055637,1301282,ボーキ佐藤株式会社秋田支店
6003763,1301399,ユアサ・フナショク株式会社横浜支店
6001003,1301399,ユアサ・フナショク株式会社横浜支店
6022656,1301399,ユアサ・フナショク株式会社横浜支店
6033130,1301399,ユアサ・フナショク株式会社横浜支店
6035522,1303714,株式会社日本アクセス郡山支店
6152428,1303560,コストコホールセールジャパン株式会社
6030584,1300069,ボーキ佐藤株式会社山形支店
6152641,1300069,ボーキ佐藤株式会社山形支店
6033130,1300069,ボーキ佐藤株式会社山形支店
6152507,1300195,ボーキ佐藤株式会社仙台支店
6023440,1300195,ボーキ佐藤株式会社仙台支店
6022398,1300195,ボーキ佐藤株式会社仙台支店
6033130,1300195,ボーキ佐藤株式会社仙台支店
6154006,1302651,ボーキ佐藤株式会社仙台支店（千坂）
6030584,1302651,ボーキ佐藤株式会社仙台支店（千坂）
6003807,1302651,ボーキ佐藤株式会社仙台支店（千坂）
6003802,1302651,ボーキ佐藤株式会社仙台支店（千坂）
6070464,1302651,ボーキ佐藤株式会社仙台支店（千坂）
6152417,1302651,ボーキ佐藤株式会社仙台支店（千坂）
6033130,1302651,ボーキ佐藤株式会社仙台支店（千坂）
6152440,1302651,ボーキ佐藤株式会社仙台支店（千坂）
6022398,1302651,ボーキ佐藤株式会社仙台支店（千坂）
6022398,1302651,ボーキ佐藤株式会社仙台支店（千坂）
6154380,1302651,ボーキ佐藤株式会社仙台支店（千坂）
6022476,1302651,ボーキ佐藤株式会社仙台支店（千坂）
6196411,1302651,ボーキ佐藤株式会社仙台支店（千坂）
6014283,1302651,ボーキ佐藤株式会社仙台支店（千坂）
6152574,1302651,ボーキ佐藤株式会社仙台支店（千坂）
6152444,1305405,株式会社セイコーフレッシュフーズ茨城配送センター
6022472,1300074,株式会社榎本武平商店
6025944,1301279,丸大堀内(株）みやぎ支店
6033130,1301279,丸大堀内(株）みやぎ支店
6056005,1301279,丸大堀内(株）みやぎ支店
6033129,1301279,丸大堀内(株）みやぎ支店
6017834,1301279,丸大堀内(株）みやぎ支店
6000608,1301279,丸大堀内(株）みやぎ支店
6016756,1301279,丸大堀内(株）みやぎ支店
6022427,1306081,丸大堀内株式会社札幌支店
6154435,1302952,丸大堀内株式会社山形支店
6152640,1302952,丸大堀内株式会社山形支店
6033130,1302952,丸大堀内株式会社山形支店
6152538,1302952,丸大堀内株式会社山形支店
6017834,1302952,丸大堀内株式会社山形支店
6032100,1302952,丸大堀内株式会社山形支店
6025944,1302952,丸大堀内株式会社山形支店
6003696,1302952,丸大堀内株式会社山形支店
6152646,1302952,丸大堀内株式会社山形支店
6152657,1300160,全日本食品株式会社東北支社
6152657,1300405,全日本食品株式会社北海道支社
6034926,1300122,日本アクセス北海道株式会社加工食品部
6016654,1300122,日本アクセス北海道株式会社加工食品部
6016671,1300122,日本アクセス北海道株式会社加工食品部
6152565,1300122,日本アクセス北海道株式会社加工食品部
6152621,1300122,日本アクセス北海道株式会社加工食品部
6017834,1305075,日本酒類販売（株）広域卸支社営業部営業課
6152583,1303838,日本酒類販売（株）流通本部流通第六支社
6156156,1303023,株式会社日本アクセス北陸支店
6156156,1301842,北陸中央食品株式会社
6152629,1300062,伊藤忠食品株式会社東海営業本部
6000958,1306848,ヤマエ久野株式会社名古屋営業所食品課
6152484,1300062,伊藤忠食品株式会社東海営業本部
6000943,1300062,伊藤忠食品株式会社東海営業本部
6000796,1300062,伊藤忠食品株式会社東海営業本部
6153993,1300062,伊藤忠食品株式会社東海営業本部
6035532,1303023,株式会社日本アクセス北陸支店
6019581,1300062,伊藤忠食品株式会社東海営業本部
6152555,1300062,伊藤忠食品株式会社東海営業本部
6070899,1300062,伊藤忠食品株式会社東海営業本部
6107244,1300062,伊藤忠食品株式会社東海営業本部
6000993,1300062,伊藤忠食品株式会社東海営業本部
6022501,1300062,伊藤忠食品株式会社東海営業本部
6051374,1300062,伊藤忠食品株式会社東海営業本部
6033130,1303023,株式会社日本アクセス北陸支店
6070909,1300062,伊藤忠食品株式会社東海営業本部
6051372,1300062,伊藤忠食品株式会社東海営業本部
6152415,1300062,伊藤忠食品株式会社東海営業本部
6000769,1300062,伊藤忠食品株式会社東海営業本部
6152599,1300062,伊藤忠食品株式会社東海営業本部
6152618,1300385,日清商事株式会社
6154844,1302959,伊藤忠食品株式会社東日本営業本部（CVS）
6033130,1301370,株式会社日本アクセス東京中央支店
6047975,1301371,株式会社日本アクセス埼玉支店
6000792,1301371,株式会社日本アクセス埼玉支店
6152657,1300171,全日本食品株式会社関東支社
6152657,1306578,全日本食品株式会社甲信越支社
6022394,1306711,株式会社ナシオ
6033130,1306711,株式会社ナシオ
6003911,1301336,ユアサ・フナショク株式会社松戸支店
6033130,1301336,ユアサ・フナショク株式会社松戸支店
6152608,1301336,ユアサ・フナショク株式会社松戸支店
6070464,1301336,ユアサ・フナショク株式会社松戸支店
6000299,1301336,ユアサ・フナショク株式会社松戸支店
6000278,1301336,ユアサ・フナショク株式会社松戸支店
6054598,1301368,株式会社日本アクセス茨城支店
6035533,1301373,株式会社日本アクセス千葉支店
6000131,1301373,株式会社日本アクセス千葉支店
6022428,1301373,株式会社日本アクセス千葉支店
6013548,1301373,株式会社日本アクセス千葉支店
6000389,1301373,株式会社日本アクセス千葉支店
6019179,1301395,ユアサ・フナショク株式会社旭支店
6000385,1301395,ユアサ・フナショク株式会社旭支店
6197620,1301395,ユアサ・フナショク株式会社旭支店
6000369,1301395,ユアサ・フナショク株式会社旭支店
6014283,1301395,ユアサ・フナショク株式会社旭支店
6014594,1301395,ユアサ・フナショク株式会社旭支店
6000193,1301397,ユアサ・フナショク株式会社千葉支店
6152608,1301397,ユアサ・フナショク株式会社千葉支店
6000210,1301397,ユアサ・フナショク株式会社千葉支店
6033130,1301397,ユアサ・フナショク株式会社千葉支店
6152384,1300193,株式会社花正
6152412,1303189,ヤマエ久野株式会社大阪支店食品課
6001078,1303189,ヤマエ久野株式会社大阪支店食品課
6153995,1303189,ヤマエ久野株式会社大阪支店食品課
6152483,1303189,ヤマエ久野株式会社大阪支店食品課
6152549,1303189,ヤマエ久野株式会社大阪支店食品課
6003741,1303189,ヤマエ久野株式会社大阪支店食品課
6000958,1303189,ヤマエ久野株式会社大阪支店食品課
6000884,1303189,ヤマエ久野株式会社大阪支店食品課
6160909,1303189,ヤマエ久野株式会社大阪支店食品課
6152644,1303189,ヤマエ久野株式会社大阪支店食品課
6018940,1303189,ヤマエ久野株式会社大阪支店食品課
6013255,1303189,ヤマエ久野株式会社大阪支店食品課
6019184,1303189,ヤマエ久野株式会社大阪支店食品課
6035499,1301517,株式会社日本アクセス京都支店
6127230,1301369,株式会社日本アクセス姫路支店
6035518,1301369,株式会社日本アクセス姫路支店
6035519,1301369,株式会社日本アクセス姫路支店
6000601,1300136,株式会社サンヨー堂大阪支店
