판매처코드,소매처코드
1300001,6000303
1300001,6018478
1300002,6084157
1300002,6033130
1300002,6152702
1300003,6003679
1300003,6001013
1300003,6000965
1300003,6001129
1300003,6003682
1300003,6003714
1300003,6003889
1300003,6041252
1300003,6003762
1300003,6003726
1300003,6125644
1300003,6154839
1300003,6003776
1300004,6155266
1300004,6003857
1300004,6003915
1300004,6003724
1300004,6049329
1300004,6000851
1300006,6152562
1300006,6000898
1300006,6003685
1300006,6003674
1300006,6003701
1300006,6003870
1300006,6154116
1300006,6003711
1300006,6136667
1300006,6003766
1300006,6012903
1300006,6041686
1300006,6014269
1300006,6154848
1300006,6003728
1300006,6049331
1300006,6003778
1300006,6056721
1300007,6003771
1300007,6003807
1300007,6152025
1300007,6003678
1300007,6003878
1300007,6144377
1300007,6012812
1300007,6069178
1300007,6033053
1300007,6017186
1300008,6003745
1300008,6018489
1300008,6000104
1300008,6140420
1300008,6003869
1300008,6000280
1300008,6156462
1300008,6003675
1300008,6164503
1300008,6000204
1300009,6000522
1300009,6125646
1300009,6003823
1300009,6152585
1300009,6003911
1300009,6003710
1300010,6014587
1300010,6014876
1300010,6000604
1300010,6003794
1300010,6019575
1300010,6019404
1300011,6000988
1300011,6140002
1300011,6020871
1300011,6000578
1300011,6070310
1300011,6160913
1300011,6164663
1300011,6001134
1300011,6001034
1300011,6140422
1300014,6160627
1300014,6047585
1300014,6003788
1300014,6003719
1300014,6157532
1300014,6197377
1300015,6000524
1300015,6125645
1300015,6016541
1300015,6003779
1300015,6003730
1300015,6017652
1300015,6152387
1300019,6022497
1300019,6000789
1300019,6156695
1300019,6032104
1300019,6003669
1300019,6003894
1300019,6152472
1300019,6001004
1300019,6016297
1300019,6003875
1300019,6003772
1300019,6126375
1300019,6003782
1300019,6049804
1300019,6143774
1300019,6003799
1300019,6003808
1300019,6164634
1300019,6120733
1300019,6079943
1300020,6160922
1300020,6003774
1300020,6021970
1300020,6020520
1300020,6164683
1300022,6127229
1300022,6149679
1300022,6000842
1300022,6003713
1300022,6003876
1300022,6003884
1300022,6039190
1300022,6019581
1300022,6152674
1300022,6070903
1300022,6125208
1300022,6154098
1300022,6003672
1300022,6152675
1300025,6000808
1300025,6003720
1300025,6052289
1300025,6019570
1300025,6003872
1300025,6038059
1300025,6035540
1300025,6013510
1300025,6000595
1300025,6152667
1300025,6003845
1300025,6124669
1300025,6136666
1300026,6197370
1300026,6019040
1300026,6003895
1300027,6003847
1300027,6001144
1300027,6014111
1300027,6001032
1300027,6160923
1300027,6126019
1300028,6003825
1300028,6144140
1300028,6000816
1300028,6019770
1300028,6000862
1300028,6000813
1300028,6003964
1300028,6017823
1300028,6161819
1300028,6003848
1300028,6003851
1300029,6000863
1300029,6033130
1300029,6000584
1300029,6164486
1300029,6000811
1300029,6000632
1300029,6000637
1300029,6000627
1300029,6000625
1300029,6000596
1300029,6019574
1300029,6000635
1300029,6152524
1300029,6000581
1300029,6022701
1300029,6154840
1300029,6152531
1300029,6000576
1300029,6000630
1300029,6000593
1300029,6000579
1300029,6035524
1300029,6020901
1300029,6000614
1300029,6000615
1300029,6152643
1300029,6154841
1300029,6016047
1300029,6000589
1300029,6154388
1300029,6013516
1300029,6152510
1300029,6003741
1300029,6164639
1300029,6152392
1300029,6164501
1300030,6152523
1300030,6154047
1300031,6163111
1300031,6152451
1300032,6160912
1300032,6013251
1300032,6152413
1300032,6001056
1300032,6154425
1300032,6152418
1300032,6152431
1300032,6152447
1300032,6162174
1300032,6152664
1300032,6153998
1300032,6152527
1300032,6035552
1300032,6152592
1300033,6152660
1300033,6152464
1300033,6152485
1300033,6000894
1300034,6153984
1300044,6056680
1300044,6070462
1300044,6013525
1300044,6000493
1300044,6018573
1300049,6021017
1300049,6152598
1300049,6152457
1300049,6000970
1300050,6000823
1300050,6000954
1300050,6001031
1300050,6000774
1300050,6000760
1300050,6001047
1300050,6035500
1300050,6152396
1300050,6013530
1300050,6156461
1300050,6000902
1300050,6014080
1300050,6000856
1300052,6000872
1300052,6016517
1300052,6013522
1300052,6013258
1300053,6000610
