소매처코드,소매처명
6000015,有限会社木村屋
6000104,加藤産業株式会社東関東支社千葉支店
6000104,千葉薬品
6000131,京成ストア
6000181,くすりの福太郎
6000185,三井物産流通グループ株式会社東北支社
6000185,Ａコープ
6000185,国分九州株式会社宮崎営業所
6000193,おおたや
6000204,尾張屋
6000204,加藤産業株式会社東関東支社千葉支店
6000210,カワグチ
6000210,カワグチＳＣ本部
6000214,国分首都圏株式会社第二支社西東京支店
6000214,ケーヨー
6000278,ワイズマート
6000280,加藤産業株式会社九州支社福岡支店
6000280,加藤産業株式会社中四国支社四国支店
6000280,加藤産業株式会社北近畿支社京都支店
6000280,加藤産業株式会社中四国支社岡山支店
6000280,加藤産業株式会社北近畿支社北大阪支店
6000280,国分東北株式会社仙台支店
6000280,加藤産業株式会社南近畿支社阪和支店
6000280,ドン・キホーテ
6000280,加藤産業株式会社西近畿支社阪神支店
6000280,加藤産業株式会社中部支社静岡営業所
6000280,加藤産業株式会社東北支社山形営業所
6000295,三和（おっ母さん）
6000299,木田屋商店
6000303,ユアサ・フナショクその他
6000303,ユアサ・フナショク株式会社その他
6000323,やましろや
6000325,万寿屋
6000325,国分関信越株式会社群馬支社
6000329,武田食品
6000336,ビッグヨーサン
6000355,ウィズ
6000369,セイミヤ
6000385,エービン
6000388,マルゲン
6000389,ヤマイチ
6000417,三菱食品株式会社広域流通本部広域営業グループ
6000417,オーケー
6000417,オーケー株式会社
6000492,国分関信越株式会社栃木支社
6000492,ベルーフ
6000493,アブアブ赤札堂
6000493,三井食品株式会社首都圏支社中央営業部営業第二室
6000495,国分関信越株式会社栃木支社
6000495,京浜さえき
6000495,さえき
6000496,山梨さえき
6000522,加藤産業株式会社東関東支社足立支店
6000522,二木
6000524,マルエイ（新鮮市場）
6000525,マルマンストア
6000549,カネカ村市株式会社
6000549,カネカ水産株式会社
6000549,カネカ水産
6000576,加藤産業株式会社南近畿支社阪南支店
6000576,越前屋
6000578,スーパー王子
6000578,加藤産業株式会社北近畿支社北大阪支店
6000579,関西スーパーマーケット
6000579,関西スーパー
6000581,カノー
6000584,協和商事
6000584,オーエスドラッグ
6000584,協和商事株式会社
6000589,スーパーことぶき
6000593,佐竹食品
6000593,佐竹食品株式会社
6000594,三井食品株式会社首都圏支社東京営業部営業第一室
6000594,サンディ
6000594,国分西日本株式会社近畿支社
6000595,山陽マルナカ
6000596,加藤産業株式会社南近畿支社阪南支店
6000596,上新電機株式会社
6000596,加藤産業株式会社西近畿支社神姫支店
6000596,上新電機
6000600,スーパー玉出
6000601,大平株式会社
6000601,大平
6000604,加藤産業株式会社北近畿支社京都支店
6000604,ハッピーテラダ
6000606,天満屋
6000606,三菱食品中四国支社営業グループ岡山ユニット
6000608,トライアルクック
6000608,三井食品株式会社北海道支社食品営業部
6000608,トライアルカンパニー
6000608,トライアル
6000608,三井物産流通グループ株式会社東北支社
6000608,三井食品株式会社首都圏支社東京営業部営業第一室
6000610,楠公シャル
6000614,三菱食品株式会社関西支社営業第四部
6000614,加藤産業株式会社北近畿支社京都支店
6000614,パリヤ
6000615,パルヤマト
6000625,本峰商店
6000627,プラデス・マルトミ
6000630,マツヤスーパー本部
6000630,マツヤスーパー
6000632,万代
6000635,三杉屋
6000637,八百彦商店
6000752,ＴＨＤ関西株式会社サンキョー
6000752,ＡＮＣ関西株式会社サンキョー
6000752,ＡＮＣ関西サンキョー
6000753,ＡＮＣ関西株式会社なかむら
6000753,ＡＮＣ関西なかむら
6000753,ＴＨＤ関西株式会社なかむら
6000754,ＴＨＤ関西株式会社にしがき
6000754,ＡＮＣ関西株式会社にしがき
6000754,ＡＮＣ関西にしがき
6000760,ＴＨＤ四国支店土佐山田ＳＣ
6000760,土佐山田ＳＣ
6000765,ＴＳＫマート株式会社
6000765,ＴＳＫマート
6000765,加藤産業株式会社南近畿支社阪南支店
6000766,アクト中食株式会社（業務用食品スーパー）
6000766,加藤産業株式会社中四国支社広島支店
6000766,業務用食品スーパー
6000766,アクト中食（業務用食品スーパー）
6000766,アクト中食株式会社
6000768,エビス食品企業組合
6000769,えぷろんフーズ
6000769,えぷろんフーズ株式会社
6000774,こうち生活協同組合
6000779,シミズ薬品株式会社
6000779,三菱食品株式会社関西支社営業第三部
6000779,国分西日本株式会社近畿支社
6000779,シミズ薬品
6000789,ヒラキ
6000789,加藤産業株式会社西近畿支社神姫支店
6000789,ヒラキ株式会社
6000792,フォーレスト
6000792,フォーレスト株式会社
6000796,マルスフードショップ
6000796,マルスフードショップ株式会社
6000796,ＴＨＤ東海マルスフードショップ株
6000800,リカオー株式会社
6000800,リカオー
6000808,ＪＡ岡山
6000808,加藤産業株式会社中四国支社岡山支店
6000811,アートタウン香里
6000812,アカシヤ（大阪）
6000812,アカシヤ＜大阪＞
6000813,あがた
6000815,アスク
