대표슈퍼코드,대표슈퍼명,판매처코드,판매처명
6000015,■有限会社木村屋,1301397,ユアサ・フナショク株式会社千葉支店
6000104,■株式会社千葉薬品　,1300008,加藤産業株式会社東関東支社千葉支店
6000131,■株式会社京成ストア　,1301373,株式会社日本アクセス千葉支店
6000181,■株式会社くすりの福太郎,1300056,旭食品株式会社首都圏支店
6000185,■Ａコープ,1301657,三井物産流通Ｇ（株）三井食品ユニット首都圏中央営業4室関信越
6000193,■株式会社おおたや　,1301397,ユアサ・フナショク株式会社千葉支店
6000204,■株式会社尾張屋,1300008,加藤産業株式会社東関東支社千葉支店
6000210,■株式会社カワグチ,1301336,ユアサ・フナショク株式会社松戸支店
6000214,■株式会社ケーヨー　,1301336,ユアサ・フナショク株式会社松戸支店
6000278,■株式会社ワイズマート,1301336,ユアサ・フナショク株式会社松戸支店
6000280,■株式会社ドン・キホーテ,1300008,加藤産業株式会社東関東支社千葉支店
6000295,■株式会社三和（おっ母さん）,1301336,ユアサ・フナショク株式会社松戸支店
6000299,■株式会社木田屋商店,1301336,ユアサ・フナショク株式会社松戸支店
6000303,■ユアサ・フナショク株式会社その他,1300001,ユアサ・フナショク株式会社東京支店
6000323,■株式会社やましろや,1300073,ボーキ佐藤株式会社群馬営業所
6000325,■株式会社万寿屋,1300824,国分関信越株式会社群馬支社
6000329,■株式会社武田食品,1301396,ユアサ・フナショク株式会社埼玉支店
6000336,■株式会社ビッグヨーサン,1300056,旭食品株式会社首都圏支店
6000355,■株式会社ウィズ,1301395,ユアサ・フナショク株式会社旭支店
6000369,■株式会社セイミヤ,1301395,ユアサ・フナショク株式会社旭支店
6000385,■株式会社エービン,1301395,ユアサ・フナショク株式会社旭支店
6000388,■株式会社マルゲン,1301397,ユアサ・フナショク株式会社千葉支店
6000389,■株式会社ヤマイチ,1301373,株式会社日本アクセス千葉支店
6000417,■オーケー株式会社,1300088,三菱食品株式会社営業第二本部神奈川エリアオフィス
6000492,■株式会社ベルーフ,1300072,ボーキ佐藤株式会社北関東支店
6000493,■株式会社アブアブ赤札堂,1300044,三井物産流通G（株）首都圏支社東京営業部営業第一室
